question,type,intent
行业ic怎么看,train,Knowledge Base
消息榜是什么追问“有什么功能优势追问“可以提供什么信息,train,Knowledge Base
证券印花税各营业部是不是一致的？,train,Knowledge Base
虚拟货币能参与吗？,train,Knowledge Base
K线图上在哪里设置小绿锁,train,Knowledge Base
炒股靠什么,train,Knowledge Base
三步战法的含义是什么追问“有什么优势”,train,Knowledge Base
估值有什么用，追问“怎么用来查看股票风险,train,Knowledge Base
股价站上无穷成本均线但主力资金未流入，是否值得关注？,train,Knowledge Base
供求资金是什么？智能阿尔法有什么用,train,Knowledge Base
成交量是否在股价上涨时放大，下跌时萎缩？,train,Knowledge Base
长期开通三步战法需要多少费用？,train,Knowledge Base
资金龙虎榜数据更新频率？,train,Knowledge Base
震荡市和牛市出现小绿锁怎么办？小绿锁是否可以和其它指标结合,train,Knowledge Base
B股股票能用三步战法么,train,Knowledge Base
什么是国债逆回购？,train,Knowledge Base
为什么债券型基金不显示主力资金指标？,train,Knowledge Base
什么是估值,train,Knowledge Base
波段决策提示“开仓是否意味着整个波段都会上涨？,train,Knowledge Base
历史回测数据与实际操作差异大的原因？,train,Knowledge Base
0z指数是什么？,train,Knowledge Base
波段决策是什么，追问“如何开启或关闭,train,Knowledge Base
CYS13指标与主力资金流入的关系应如何结合分析？,train,Knowledge Base
调整后的三步战法设置为什么无法保存？,train,Knowledge Base
如何评估一份研报的质量和可信度？有没有一些关键指标或方法可以参考？,train,Knowledge Base
多空资金由红转绿是否立即卖出？,train,Knowledge Base
并购重组的股票如何选？,train,Knowledge Base
三步战法与股票走势矛盾,train,Knowledge Base
在下跌趋势中，主力资金逆势流入是否值得关注？,train,Knowledge Base
当个股天气预测与波段决策矛盾时如何选择？,train,Knowledge Base
短线操作应关注1日还是3日主力资金数据？,train,Knowledge Base
为何三步战法提示买入但其他策略（如波段决策）提示持有？,train,Knowledge Base
消息榜的有什么优势,train,Knowledge Base
量价关系都有哪些？,train,Knowledge Base
资金龙虎榜提示关注但主力资金显示流出，如何决策？,train,Knowledge Base
为何切换账号后三步战法功能消失？,train,Knowledge Base
手机版软件是否支持查看13日累计主力资金数据？,train,Knowledge Base
趋势活金怎么调用,train,Knowledge Base
软件不显示小绿锁如何解决？,train,Knowledge Base
为何点击波段决策后会跳转到四川长虹等特定股票？,train,Knowledge Base
融资融券数据是否会导致多空资金变化？,train,Knowledge Base
波段决策“清仓必须立即卖出么,train,Knowledge Base
敢死队资金功能优势是什么？估值空间又是什么意思？,train,Knowledge Base
如何在电脑版查看趋势活金三步战法的教学视频？,train,Knowledge Base
自选股如何排序,train,Knowledge Base
筹码分布的功能是什么，追问“有什么优势”,train,Knowledge Base
绿锁出现后资金统计显示流入，是否信号错误？,train,Knowledge Base
主力资金持续流入但股价横盘震荡，可能是什么原因？,train,Knowledge Base
"""趋势活金三步战法""如何应用？",train,Knowledge Base
小绿锁的教学案例是否充足？,train,Knowledge Base
当股价突破布林线上轨但波段决策提示开仓，如何操作？,train,Knowledge Base
仓位控制怎么做？,train,Knowledge Base
软件提示"当前版本不支持盘中查看主力资金"，如何解决？,train,Knowledge Base
股价突破均线但多空资金不足时的操作策略？,train,Knowledge Base
盘后显示主力资金流入但当日分时图显示持续流出，如何解释？,train,Knowledge Base
大数据主力雷达是什么,train,Knowledge Base
如何修改三步战法的默认参数（如主力1日、敢死队3日、多空5日）？,train,Knowledge Base
轮动指标与多空资金的参数协调问题？,train,Knowledge Base
主力资金持续流入但融资余额下降，如何解读？,train,Knowledge Base
机构扫盘有什么用？牛马熊含义是什么,train,Knowledge Base
波段决策中的$代表什么,train,Knowledge Base
如何添加自选股,train,Knowledge Base
波段决策在MACD/KDJ等传统指标背离时的可靠性,train,Knowledge Base
小绿锁一般在什么时候出现,train,Knowledge Base
主力资金布局周期与敢死队资金快进快出的矛盾如何协调？,train,Knowledge Base
绿锁出现后股价继续大涨，如何分析矛盾现象？,train,Knowledge Base
为何股票涨停后三步战法仍显示空仓状态？,train,Knowledge Base
波段决策在次新股中的适用性如何？如何通过波段决策判断突破有效性（如压力位）,train,Knowledge Base
