question,type,intent
智能阿尔法涨跌预测在哪？,,oos
麦T宝,,oos
出现三把锁但股价处于历史高位，是否应该买入？,,oos
波段决策提示持仓但主力资金显示流出，应以哪个为准？,,oos
出现黄金坑但主力资金仅流入1日，是否满足买入条件？,,oos
敢死队资金大幅流入但股价未明显上涨的可能原因是什么？,,oos
主力资金连续多日流入但股价未涨，是否应继续持有？,,oos
绿锁出现但主力资金仍在流入，应该如何操作？,,oos
多空资金大幅流入但估值过高的操作建议？,,oos
出现三把锁但股价已涨停，是否应追高？,,oos
出现绿锁但资金仍在流入，是否应该继续持有？,,oos
小黄锁出现后是否建议切换至防御性板块？,,oos
小黄锁出现后是否建议缩短持仓周期？,,oos
波段决策信号在盘后固定前是否可能变动？,,oos
当涨停股出现波段决策空仓信号时是否应卖出？,,oos
波段决策导致多次卖飞牛股，如何解释？,,oos
为什么股票上涨但波段决策显示绿色或空仓？,,oos
如何通过三步战法分析股票的筹码分布变化？,,oos
如何通过波段决策识别主力洗盘行为？,,oos
如何通过三步战法判断股票的短期结构牛信号？,,oos
近期哪些板块的市场表现最为抢眼，未来是否还有上涨空间？,,oos
给出短线，适合进场的股票。主板方向,,oos
根据擒龙平台，推荐主板方向，适合进场的股票,,oos
今天适合入手的股票,,oos
推荐一个主板方向，适合入手的股票。根据指南针轮动战法,,oos
下个交易日上涨的股票推荐、今日可买入标的、带概率和操作建议,,oos
波段决策今天开仓股票,,oos
TOKEN背后透露哪些机会，哪些个股值得关注？,,oos
E T F基金T+0的有哪些,,oos
分析一下603881，今天是出货还是洗盘？,,oos
网速科技走势。如何,,oos
凯撒旅业，最近有什么利好消息,,oos
你好，我想把品屋食品，食品饮料一起中国平安还有品屋食品都换，换成600930华电性能行吗？,,oos
三月份的主线会是什么板块，只选三支股票投资，请将最优的选出来！,,oos
3支性价比高的液冷A股走势分析,,oos
金属钨慨念今天是不是资金流出了，是不是面要回调了,,oos
波段开仓，连阳三天,,oos
帮我分析一下上海电气这只股票今天及以后的走势,,oos
化工呢？溴，自己甲醇一类的,,oos
在指南针哪看筹码？用图说明,,oos
28日以色列与伊朗战争，资金避险，仓位如何应对？选股应该怎么选,,oos
哈空调600202周K线连续三周上行，代表什么意思？,,oos
大有能源，可以赤有吗,,oos
华胜天成后势走势如何？,,oos
加上这俩天美伊战争把选取的股票重新择优,,oos
帮我分析一下浪潮信息这个股票。今年有没有盈利，市值有多少？是不是今年的主线？,,oos
万和电气周线收上长影十字星，后期走势？,,oos
中国石化，洲际油气，这些累，的和美伊开战不能买吗？,,oos
美国和伊朗开战，利好哪些股票，业绩预增稳定增长的,,oos
我2月26日买入大笔600010股票，27日9.26分钟下单卖了，后来快涨停，后悔死了，请分析一下我这种情况要如何避免,,oos
请问现在重点关注那几个板块，资金流入那几个板块,,oos
兆易创新未来走势及操作策略,,oos
海光信息选股策略及未来走势,,oos
中芯国际近期走势及投资策略,,oos
鉴于目前国内国际形势，下周应重点关注的赛道，并筛选出几个短线etf标的,,oos
帮我分析一下我的持仓股符合下周的主线题材吗？那些可以卖出呢？,,oos
航天动力明涨跌幅分析，操作策略,,oos
海天味业明涨跌幅分析，能买吗？操作策略,,oos
2026年2月8日筛选涨停 高盛（中国）正量买入涨停突振幅破大于10总量对比前一天翻2.5倍增长外盘大于内盘突破30日线“量价健康→指标共振→热点验证→排除风险”四步法则。政策驱动，结合分时盘口与资金流向动态调整策略，符合上述条件的股 严格执行报代码,,oos
002774这只股票业绩怎么样主要做哪些行业，未来有多大上升空间,,oos
帮我找一只芯片的龙头股，可以长线投资那种,,oos
今日吉视传媒主力资金多空资金敢死队资金流入了吗？开始进场了吗？,,oos
推荐今日波段开仓，并结合多维度技术面参考的股票,,oos
根据目前市场情况，选出高增长赛道继续产业链分析，选出标的公司及其相关的ETF基金，评估风险点及选时操作策略（包含ETF基金）,,oos
胜蓝股份今天走势怎么样？股票可以好分批卖掉吗？,,oos
600986主力出货了吗？还是洗盘？,,oos
人民同泰是怎么了，有什么利空重大消息吗,,oos
昆剧周末国立国外的古诗行情请给出本周最合院的板块。,,oos
机器人概念股有哪些？都有什么特点,,oos
今天哪些股票会走强？请帮我选出一只底部资金，非常扎实，而且是热门板块，走势又慢慢上涨的股票,,oos
今天周一开盘有那些方向板块值得关注的，选出10支可建仓的标的,,oos
银河电子涨停原因，它属于哪个板块,,oos
Rsl数据在多少以上是超买有回调的风险,,oos
雅化集团的筹码密集度和集中度是不是在少数股东买入,,oos
帮我分析一下300682股票的基本面，发展空间,,oos
